id	n_junction	type
e56e8eb1-c4ef-4ca0-993c-528ce13b51d3	0	annotated
d011e389-1f31-4a81-a1c0-d17ca3eaa37d	0	annotated
d011e389-1f31-4a81-a1c0-d17ca3eaa37d	0	annotated
d011e389-1f31-4a81-a1c0-d17ca3eaa37d	0	annotated
ec79a802-d8b7-40ce-b838-cb72cc9d9599	0	annotated
ec79a802-d8b7-40ce-b838-cb72cc9d9599	0	annotated
007963ae-0538-48eb-9893-39cd6ebad942	0	annotated
007963ae-0538-48eb-9893-39cd6ebad942	0	annotated
7e9e88c0-a645-43d0-8e43-0ebba82149de	0	annotated
7e9e88c0-a645-43d0-8e43-0ebba82149de	0	annotated
e1dd8a53-c087-4357-a31e-c4ff1f8b5b86	0	annotated
e1dd8a53-c087-4357-a31e-c4ff1f8b5b86	0	annotated
38329ed6-4005-496d-b618-19f81a44783a	0	annotated
38329ed6-4005-496d-b618-19f81a44783a	0	annotated
6f1691ad-cc8e-46b6-ae40-6bf39e0e0adf	0	annotated
f3b5b7a5-f471-424b-8603-8f416a51cd02	0	annotated
f3b5b7a5-f471-424b-8603-8f416a51cd02	0	annotated
4152cafa-91ec-4414-bb56-98457e95590f	0	annotated
de22bd0f-dccc-4c82-80d1-4f956ada4b37	0	annotated
81e524fc-ff9e-4912-a075-4618393ddc20	0	annotated
81e524fc-ff9e-4912-a075-4618393ddc20	0	annotated
f2931fe2-9625-4ab6-8c53-26f853f96ae8	0	annotated
f2931fe2-9625-4ab6-8c53-26f853f96ae8	0	annotated
3990908e-6ee9-4449-ad03-962b1bf52a68	0	annotated
3990908e-6ee9-4449-ad03-962b1bf52a68	0	annotated
fffc23d8-208f-45b5-8657-4aac101917f3	0	annotated
fffc23d8-208f-45b5-8657-4aac101917f3	0	annotated
40814691-46b4-466b-9e08-461093d7cea7	0	annotated
40814691-46b4-466b-9e08-461093d7cea7	0	annotated
81bfb6f6-b23f-4d09-b5dd-fa2649fe59f8	0	annotated
81bfb6f6-b23f-4d09-b5dd-fa2649fe59f8	0	annotated
81bfb6f6-b23f-4d09-b5dd-fa2649fe59f8	0	annotated
524464ce-bca2-4c7f-b511-d52515332208	0	annotated
0c5c1da9-f3fa-4403-9cf9-5713fcd71e12	0	annotated
0c5c1da9-f3fa-4403-9cf9-5713fcd71e12	0	annotated
bff2d560-1893-459c-a0ed-43ce374da676	0	annotated
bff2d560-1893-459c-a0ed-43ce374da676	0	annotated
bff2d560-1893-459c-a0ed-43ce374da676	0	annotated
bff2d560-1893-459c-a0ed-43ce374da676	0	annotated
d0a5f815-3315-4f6d-afae-cf90cb886464	0	annotated
c60fbb47-6d89-40d1-991f-891c9296e8df	0	annotated
c60fbb47-6d89-40d1-991f-891c9296e8df	0	annotated
d02be860-c5f0-483d-a31e-943367018712	0	annotated
bddb8088-8a2d-4a84-aa9a-c652bef604c8	0	annotated
bddb8088-8a2d-4a84-aa9a-c652bef604c8	0	annotated
